latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.1362,37.93394,318.24,0.33,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,285.24,3.4,N
51.1375,37.92961,348.84,0.33,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,286.48,3.4,N
51.13942,37.93524,344.8,0.33,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,286.43,2.34,N
51.1407,37.93089,319.67,0.33,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,285.79,4.99,N
51.15625,37.9437,306.61,0.33,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,288.24,0.68,N
51.16232,24.16351,299.91,0.38,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,288.97,0.41,N
51.17033,3.79919,297.59,0.63,0.72,2025-07-04,35,N,VIIRS,n,2.0NRT,284.77,3.93,N
51.17045,3.80869,330.3,0.63,0.72,2025-07-04,35,N,VIIRS,n,2.0NRT,284.43,3.93,N
51.17214,3.80465,340.38,0.63,0.72,2025-07-04,35,N,VIIRS,n,2.0NRT,286.29,3.26,N
51.1723,3.81401,314.64,0.63,0.72,2025-07-04,35,N,VIIRS,n,2.0NRT,282.87,3.26,N
51.1772,3.80844,343.21,0.63,0.72,2025-07-04,35,N,VIIRS,n,2.0NRT,286.44,9.21,N
51.17889,3.80436,307.46,0.63,0.72,2025-07-04,35,N,VIIRS,n,2.0NRT,283.9,3.26,N
51.17906,3.81385,295.47,0.63,0.72,2025-07-04,35,N,VIIRS,n,2.0NRT,281.83,3.26,N
51.23965,4.32548,297.42,0.6,0.7,2025-07-04,35,N,VIIRS,n,2.0NRT,282.13,0.96,N
51.26044,37.76518,311.48,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,288.06,0.9,N
51.27133,11.66258,301.77,0.57,0.52,2025-07-04,35,N,VIIRS,n,2.0NRT,283.55,1.32,N
51.38507,13.33041,300.73,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,282.91,0.63,N
51.38958,13.33119,297.2,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,282.12,0.63,N
51.39004,13.32404,304.21,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,282.9,1.74,N
51.40523,13.37016,308.74,0.49,0.48,2025-07-04,35,N,VIIRS,n,2.0NRT,287.01,3.52,N
51.40593,13.29055,298.34,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,284.97,1.69,N
